time (s),pressure (kPa)
60.87,98.66356
61.184,98.65992999999999
61.498,98.67324
61.812,98.67555
62.129,98.6452
62.442,98.66073
62.756,98.6777
63.07,98.64345
63.388,98.65946000000001
63.701,98.68450999999999
64.015,98.68122
64.329,98.68108000000001
64.647,98.67705000000001
64.96,98.67058
65.273,98.66333999999999
65.587,98.66955
65.904,98.6807
66.218,98.66709
66.532,98.66928999999999
68.104,98.66206
68.422,98.67336
68.735,98.67813000000001
69.049,98.71243
69.363,98.67869999999999
69.681,98.67880000000001
69.995,98.67665
70.308,98.67028
70.622,98.66055
70.94,98.66719
71.253,98.65588000000001
71.567,98.67019
71.881,98.67166
72.198,98.66494999999999
72.511,98.6692
72.825,98.66502
73.139,98.66909
73.457,98.66584
73.77,98.65916
74.084,98.66466
74.398,98.68898
74.727,98.66766
75.04,98.65816000000001
75.354,98.67273
75.668,98.65989
75.986,98.66356
76.299,98.65728999999999
76.613,98.64827000000001
76.927,98.60197
77.245,98.65966
77.558,98.66936
77.871,98.67846
78.184,98.67402
78.497,98.67658999999999
78.811,98.66938
79.125,98.66002
79.439,98.63756
79.757,98.64608
80.07,98.66098
80.384,98.68391
80.697,98.67484
81.01,98.66884
81.327,98.67877
81.64,98.66100999999999
81.954,98.66117
82.267,98.65849
82.584,98.65624000000001
82.897,98.64957000000001
83.21,98.66604
83.524,98.66861999999999
83.842,98.67228999999999
84.156,98.66203
84.47,98.66703
84.784,98.66714999999999
85.102,98.66722
85.415,98.66177
85.728,98.66363
86.042,98.65519
86.36,98.68387
86.673,98.66584
86.987,98.67413
87.3,98.66225999999999
87.636,98.67072999999999
87.949,98.66414
88.262,98.66783
88.576,98.65341000000001
88.893,98.63539
89.206,98.65249
89.52,98.6712
89.834,98.6636
90.152,98.6828
90.466,98.67051
90.78,98.66936
91.094,98.65908
91.412,98.67248
91.726,98.65147
92.04,98.65642
92.354,98.6617
92.672,98.67407
92.986,98.66680000000001
93.3,98.6712
93.614,98.65119
93.932,98.6588
94.246,98.65778999999999
94.56,98.64438
94.874,98.65131
95.192,98.65944
95.505,98.67108
95.819,98.67094
96.133,98.66059
96.451,98.66414
96.764,98.66571
97.078,98.64724000000001
97.392,98.65861
97.709,98.64913
98.023,98.66455
98.337,98.66671000000001
98.651,98.6597
98.969,98.66189999999999
99.283,98.66558
99.597,98.65119
99.911,98.65359
100.229,98.65989
100.544,98.65966
100.858,98.6662
101.172,98.65999000000001
101.49,98.66028
101.804,98.64386
102.118,98.63719
102.432,98.66161
102.75,98.66758999999999
103.064,98.64027
103.378,99.23052
103.692,99.80256
104.01,99.88259
104.324,99.5322
104.638,99.73198
104.952,99.72167999999999
105.281,99.73728999999999
105.595,99.93722
105.909,101.19539
106.223,102.4162
106.541,102.72649
106.855,101.41884
107.169,101.65097999999999
107.483,100.60604
107.801,98.67621000000001
108.115,100.44498
108.429,98.80302
108.743,98.69266999999999
109.061,98.69283999999999
109.375,98.65534
109.689,98.64845
110.003,98.65694
110.321,98.66386
110.635,98.81269999999999
110.949,99.42629
111.263,98.65728999999999
111.581,98.6653
111.895,98.66445
112.209,98.64205
112.523,98.64102
112.841,98.66875
113.155,98.66559
113.469,98.67678
113.783,98.66416000000001
114.101,98.66445
114.415,98.66297999999999
114.729,98.65180000000001
115.043,98.63477999999999
115.361,98.66002
115.675,101.11571
115.989,108.15486
116.303,109.62258
116.621,102.18747
116.936,98.66404
117.25,98.67258
117.564,98.66053
117.882,98.66613000000001
118.196,98.65829
118.51,98.66584
